name,cluster,x,y,frame,second,positive,neutral,negative
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second128_frame3224.jpg,4,18.460375,0.13569842,3224,128,0.08441627770662308,0.9003707766532898,0.015212916769087315
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second131_frame3299.jpg,4,14.962918,0.22602226,3299,131,0.3199200928211212,0.667657732963562,0.012422144412994385
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second135_frame3399.jpg,4,15.21362,0.27695763,3399,135,0.0754655972123146,0.9134669303894043,0.011067474260926247
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second13_frame330.jpg,5,7.8148026,1.5671018,330,13,0.4168575406074524,0.3108066916465759,0.27233579754829407
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second143_frame3580.jpg,4,15.166295,0.78470236,3580,143,0.5931694507598877,0.4026605188846588,0.00417000288143754
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second147_frame3680.jpg,4,17.718311,0.66328543,3680,147,0.26601511240005493,0.66500324010849,0.06898166239261627
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second150_frame3755.jpg,4,14.386657,0.7209136,3755,150,0.3576829135417938,0.6323183178901672,0.009998733177781105
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second154_frame3855.jpg,4,14.030733,0.9848576,3855,154,0.26460349559783936,0.06585044413805008,0.6695461273193359
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second158_frame3955.jpg,4,13.957322,0.95171404,3955,158,0.6576111912727356,0.32350102066993713,0.01888778619468212
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second161_frame4030.jpg,3,8.249082,14.134783,4030,161,0.76437908411026,0.21709972620010376,0.018521159887313843
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second165_frame4130.jpg,3,8.64207,14.201102,4130,165,0.3048463761806488,0.41009360551834106,0.2850600481033325
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second17_frame436.jpg,5,7.5495176,-4.3882036,436,17,0.5349425077438354,0.4324756860733032,0.03258182480931282
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second20_frame518.jpg,5,4.13695,0.50930756,518,20,0.49802520871162415,0.17872655391693115,0.3232482671737671
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second24_frame618.jpg,6,-9.71073,2.8323514,618,24,0.30222079157829285,0.359927773475647,0.3378513753414154
